sceneID,character,character_image,dialogue,dialogue_audio,main_skill,answer1,answer2,answer3,score1,score2,score3,next_scene1,next_scene2,next_scene3,background,background_music
woman_0A,Me,Grumpy Woman Good,"Oh okay, do not hesitate to call the nurses or anyone at any time !",test1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,room3,
woman_0A,Me,Grumpy Woman Good,"(Wow, what an attitude change !!)",test1,NA,NA,NA,NA,NA,NA,NA,end,end,end,room3,
woman_0B,Grumpy Woman,Grumpy Woman Bad,Excuse-me? What did you just say ?,test1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,room3,
woman_0B,Me,Grumpy Woman Bad,"(Oh oh, I'm in trouble....)",test1,NA,NA,NA,NA,NA,NA,NA,end,end,end,room3,
woman_0C,Grumpy Woman,Grumpy Woman,Mmh... What are you looking at ?,test1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,room3,
woman_0C,Me,Grumpy Woman,I don't know... Nothing.,test1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,room3,
woman_0C,Grumpy Woman,Grumpy Woman Bad,"Well, take look somewhere else, I feel oppressed !",test1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,room3,
woman_0C,Me,Grumpy Woman Bad,"Sorry, Ma'am...",test1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,room3,
woman_0C,Me,Grumpy Woman,(This is not really good... But anyway...),test1,NA,NA,NA,NA,NA,NA,NA,end,end,end,room3,
end,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
